sd_s38,sd_s1000,sd_theta,sd_gamma,sd_beta,fd_totalEnergy,E_CIC,E_ML,err_CIC,err_ML
25.2,26.37,34.01,0.0,-2.23,5.037,4.787051751022407,4.940921857664,-0.04962244371204944,-0.01907447733492162
5.19,5.77,23.79,0.05,-2.24,1.21,0.9783193209112891,0.9907003285309891,-0.19147163561050481,-0.18123939790827345
5.93,6.7,25.96,0.04,-2.23,0.846,1.1185384546099917,1.1756063074100578,0.32214947353426915,0.3896055643144892
6.94,7.9,23.83,0.05,-2.26,1.205,1.3100551248815828,1.3803722597273613,0.08718267625027613,0.14553714500195955
13.26,7.92,57.53,0.01,-1.64,2.634,2.5110077445713697,2.5521405715976995,-0.046694098492266606,-0.031077991041116335
5.41,5.56,33.66,0.02,-2.13,1.049,1.0199964682303728,1.0150396555150447,-0.02764874334568838,-0.03237401762150164
13.46,12.79,40.27,0.01,-2.09,2.893,2.5490676858715013,2.5519048346782967,-0.11888431183148927,-0.11790361746343006
18.04,20.51,25.03,0.02,-2.3,3.094,3.4213267501443707,3.5863015845772575,0.105794036892169,0.15911492714197079
5.69,6.06,32.38,0.02,-2.15,2.104,1.0730520531584282,1.0824487376278251,-0.48999427131253415,-0.4855281665266991
4.78,4.5,41.91,0.03,-1.99,0.659,0.9006716123736238,0.8902496545650165,0.3667247532224943,0.35090994622916
26.28,17.08,54.23,0.07,-1.81,6.216,4.9932352245510545,4.95322264501997,-0.1967124799628291,-0.20314951013192245
4.25,4.63,24.8,0.06,-2.22,0.836,0.8003464623201269,0.8018148711324264,-0.04264777234434583,-0.040891302473174074
4.6,4.88,25.8,0.05,-2.21,0.878,0.8665925008538499,0.8231667905467602,-0.012992595838439789,-0.06245240256633232
6.3,4.75,50.11,0.13,-1.8,1.484,1.1886808354854375,1.1373057785881242,-0.19900213242221196,-0.2336214429999163
5.23,5.28,37.04,0.01,-2.08,0.932,0.9858963522660986,0.997135387744713,0.057828704148174426,0.06988775509089372
18.41,9.66,59.69,-0.05,-1.59,2.834,3.4918445943713152,3.432562668050078,0.23212582723052758,0.2112077163197169
6.23,6.45,33.2,0.02,-2.15,1.255,1.1754090737936378,1.1457621223791155,-0.06341906470626463,-0.08704213356245773
22.24,11.78,58.61,-0.02,-1.65,5.232,4.2221835902809985,4.187874320812058,-0.19300772357014556,-0.1995653056551878
5.04,5.02,35.8,0.01,-2.09,0.921,0.9499080136912628,0.8935677505980982,0.03138763701548613,-0.02978528708132661
18.44,16.0,44.72,0.06,-2.02,3.538,3.497562562927838,3.4218949025494454,-0.011429462145890858,-0.0328165905739272
7.72,7.37,42.4,0.03,-2.01,1.009,1.458053664211173,1.5197354702005148,0.4450482301399139,0.5061798515366848
3.88,3.51,43.94,0.06,-1.93,0.879,0.7303440062586741,0.7186413901633341,-0.16911944680469382,-0.18243300322715125
24.19,15.16,54.77,0.06,-1.78,6.915,4.594271076191848,4.610780654253722,-0.3356079427054449,-0.33322044045499316
5.22,5.39,35.48,0.01,-2.11,0.769,0.9840020677865063,1.0128451999645944,0.2795865640916857,0.31709388812040884
28.1,17.59,54.48,0.07,-1.81,6.896,5.340785456338169,5.088716246738027,-0.22552415076302648,-0.2620771103918174
91.98,101.52,28.7,0.09,-2.36,21.107,17.58366801309528,21.939282121891242,-0.16692717993578995,0.0394315687635023
36.54,38.07,34.72,-0.01,-2.24,7.94,6.953843170134131,7.515636109588816,-0.1242011120737871,-0.05344633380493506
3.62,3.31,44.5,0.07,-1.91,0.708,0.6811724464866401,0.7289545133096738,-0.037892024736383985,0.029596770211403667
8.59,7.03,49.31,0.12,-1.86,1.287,1.6232150378355443,1.7071904382181482,0.2612393456375637,0.3264882969837982
12.41,12.8,35.09,0.0,-2.17,3.001,2.3492848243416,2.4025182220722496,-0.2171660032183939,-0.19942745015919702
21.96,20.07,43.83,0.04,-2.06,4.575,4.168768421713768,4.2183533516829,-0.08879378760354803,-0.07795555154472131
4.33,4.64,34.85,0.02,-2.11,0.769,0.815486139084236,0.8493386878616899,0.06045011584425999,0.10447163571091007
10.79,10.6,37.5,0.0,-2.12,2.011,2.041213296705138,2.059850140524199,0.015024016263121859,0.024291467192540418
12.4,12.57,38.42,0.0,-2.12,1.874,2.3473825169424685,2.4034719492930905,0.25260539858189346,0.28253572534316457
8.22,8.65,32.92,0.02,-2.17,1.526,1.552963491242967,1.576025892925204,0.017669391378091114,0.032782367578770635
20.47,17.51,45.4,0.07,-2.02,3.91,3.884580470013203,3.711630792568157,-0.006501158564398203,-0.05073381264241516
19.85,12.05,56.19,0.04,-1.72,3.821,3.766357149669041,3.7964949979487432,-0.014300667451180131,-0.006413243143485198
4.32,3.74,45.12,0.08,-1.9,0.921,0.8135936041930639,0.8005094610394866,-0.11661932226594583,-0.13082577520142608
11.87,11.62,38.59,0.0,-2.11,1.609,2.246571108048995,2.24238023983678,0.3962530192970758,0.3936483777730143
